Timestamp,Gender,Age,Race,Occupation,Do you agree that skincare is important?,Have you ever used any skin care products?,Skin Conditions,Preferred Type of Ingredients,How do you choose your products?,Do you use samples before buying skincare products?,How often do you buy skincare products?,How willing are you to try different skin care products?,Where do you purchase your skin care products?,Average monthly spending on skincare products,The list of ingredients on a product is hard to understand.,I want to gain knowledge of skincare regime in easy and understandable way.,Do you think that technology can improve your skincare routine?,Have you heard about AI (Artificial Intelligence)?,Do you want to have a skin scanning app that can customize skincare regime?,How excited  would you be to use the skin scanning application?,State
7/30/2022 11:31,Female,14-19,Bajau,Architect,Yes,Yes,Brown Spots,Natural,Dermatologist,Yes,Rarely,Willing,Mall,RM 100 - RM 149,Strongly Agree,Yes,Yes,Yes,Yes,Very Excited,Sarawak
11/11/2022 19:05,Female,30-35,Bajau,Student,No,Yes,Oily Skin,Oil-free,Relatives,Yes,Often,Willing,Online,< RM 20,Strongly Disagree,Yes,No,Yes,Yes,Very Excited,W.P. Putrajaya
3/29/2022 17:00,Female,>35,Bajau,Manager,Yes,Yes,Combination Skin,Noncomedogenic,Product,No,Sometimes,Willing,Online,RM 100 - RM 149,Strongly Disagree,Yes,No,No,Yes,Moderately Excited,Terengganu
11/17/2022 17:04,Female,30-35,Chinese,Own,Yes,Yes,Oily Skin,Antioxidant,Brand,Yes,Often,Willing,Online,RM 100 - RM 149,Strongly Disagree,Yes,No,Yes,Yes,Very Excited,Sarawak
10/6/2022 15:53,Female,20-24,Indian,Doctor,Yes,Yes,Uneven Skin Tone,Noncomedogenic,Observation,No,Very often,Willing,Online,RM 20 - RM 49,Agree,Yes,Yes,Yes,Yes,Very Excited,Negeri Sembilan
6/25/2022 22:55,Female,14-19,Chinese,Architect,Yes,Yes,Combination Skin,Natural,Relatives,Yes,Often,Willing,Online,RM 20 - RM 49,Agree,Yes,Yes,Yes,Yes,Moderately Excited,Sabah
10/17/2022 14:35,Female,30-35,Chinese,Manager,Yes,Yes,Uneven Skin Tone,Natural,Relatives,No,Sometimes,Willing,Online,> RM 300,Strongly Disagree,Yes,Yes,Yes,Yes,Moderately Excited,W.P. Labuan
6/8/2022 1:28,Female,25-29,Indian,Designer,Yes,Yes,Oily Skin,Hypoallergenic,Relatives,No,Sometimes,Willing,Specialized Beauty Shops,> RM 300,Neutral,Yes,Yes,Yes,Yes,Very Excited,Selangor
9/1/2022 4:58,Female,25-29,Indian,Student,Yes,Yes,Oily Skin,Oil-free,Relatives,Yes,Often,Willing,Mall,RM 150 - RM 199,Agree,Yes,Yes,Yes,Yes,Very Excited,Perlis
5/19/2022 22:27,Female,30-35,Indian,Teacher,Yes,Yes,Uneven Skin Tone,Alcohol-free,Relatives,No,Yes,Not Willing,Mall,RM 200 - RM 300,Disagree,Yes,Yes,Yes,Yes,Moderately Excited,Kedah
8/27/2022 7:37,Female,25-29,Sabahan,Manager,Yes,Yes,Pigmentation,Noncomedogenic,Relatives,Yes,Never,Willing,Online,RM 50 - RM 99,Strongly Disagree,No,No,Yes,Yes,Moderately Excited,Johor
9/11/2022 21:12,Male,25-29,Chinese,Manager,Yes,Yes,Normal Skin,Alcohol-free,Brand,Yes,Very often,Not Willing,Online,RM 100 - RM 149,Strongly Disagree,Yes,Yes,Yes,Yes,Moderately Excited,Pulau Pinang
9/19/2022 9:49,Female,30-35,Indian,Own,Yes,Yes,Combination Skin,Alcohol-free,Relatives,Yes,Never,Willing,Online,RM 200 - RM 300,Strongly Agree,Yes,Yes,Yes,Yes,Extremely Excited,Terengganu
9/14/2022 3:10,Female,20-24,Chinese,Teacher,Yes,Yes,Oily Skin,Oil-free,Salesperson,No,Never,Willing,Mall,RM 150 - RM 199,Disagree,Yes,Yes,Yes,No,Moderately Excited,Johor
4/23/2022 7:03,Female,25-29,Chinese,Engineer,Yes,Yes,Oily Skin,Noncomedogenic,Relatives,Yes,Often,Willing,Mall,RM 200 - RM 300,Agree,Yes,Yes,No,No,Extremely Excited,Kelantan
4/25/2022 19:36,Female,>35,Chinese,Architect,No,Yes,Combination Skin,Alcohol-free,Relatives,Yes,Sometimes,Willing,Online,> RM 300,Disagree,Yes,No,Yes,Yes,Very Excited,Kelantan
7/1/2022 5:55,Female,30-35,Chinese,Student,Yes,Yes,Combination Skin,Natural,Brand,No,Never,Not Willing,Mall,RM 150 - RM 199,Strongly Disagree,Yes,Yes,Yes,Yes,Extremely Excited,Negeri Sembilan
7/2/2022 19:39,Female,20-24,Chinese,Teacher,Yes,Yes,Uneven Skin Tone,Hypoallergenic,Brand,Yes,Never,Willing,Online,RM 200 - RM 300,Strongly Disagree,No,No,Yes,Yes,Slightly Excited,W.P. Kuala Lumpur
8/16/2022 13:59,Female,25-29,Chinese,Manager,No,Yes,Combination Skin,Natural,Dermatologist,Yes,Sometimes,Willing,Specialized Beauty Shops,RM 100 - RM 149,Neutral,Yes,Yes,Yes,Yes,Moderately Excited,Kelantan
4/2/2022 23:50,Female,20-24,Chinese,Designer,Yes,Yes,Combination Skin,Alcohol-free,Brand,Yes,Very often,Willing,Online,RM 150 - RM 199,Strongly Agree,Yes,Yes,Yes,Yes,Moderately Excited,Negeri Sembilan
8/18/2022 23:02,Female,25-29,Chinese,Architect,Yes,Yes,Uneven Skin Tone,Alcohol-free,Relatives,Yes,Yes,Willing,Mall,RM 100 - RM 149,Strongly Disagree,Yes,Yes,Yes,Yes,Moderately Excited,Johor
6/7/2022 17:10,Female,30-35,Chinese,Own,Yes,Yes,Natural Skin,Natural,Relatives,No,Yes,Willing,Online,RM 150 - RM 199,Strongly Disagree,Yes,Yes,Yes,Yes,Very Excited,Perlis
9/11/2022 9:10,Female,25-29,Chinese,Manager,Yes,Yes,Sensitive Skin,Antioxidant,Brand,Yes,Very often,Willing,Online,RM 150 - RM 199,Strongly Agree,Yes,Yes,Yes,No,Extremely Excited,Kelantan
5/23/2022 2:50,Female,30-35,Chinese,Manager,Yes,Yes,Uneven Skin Tone,Natural,Relatives,Yes,Often,Willing,Online,RM 150 - RM 199,Neutral,Yes,No,Yes,Yes,Extremely Excited,Terengganu
5/5/2022 14:02,Female,20-24,Chinese,Manager,Yes,Yes,Combination Skin,Alcohol-free,Relatives,Yes,Sometimes,Not Willing,Online,RM 100 - RM 149,Strongly Disagree,No,Yes,Yes,Yes,Extremely Excited,Pahang
9/16/2022 0:06,Female,20-24,Chinese,Student,Yes,Yes,Uneven Skin Tone,Natural,Relatives,No,Sometimes,Not Willing,Online,RM 20 - RM 49,Neutral,Yes,Yes,Yes,Yes,Extremely Excited,Johor
9/5/2022 17:56,Female,30-35,Chinese,Doctor,Yes,Yes,Combination Skin,Noncomedogenic,Pricing,Yes,Rarely,Willing,Pharmacy,RM 20 - RM 49,Disagree,Yes,Yes,Yes,Yes,Extremely Excited,Kedah
8/27/2022 19:25,Female,20-24,Chinese,Designer,No,Yes,Uneven Skin Tone,Noncomedogenic,Dermatologist,Yes,Sometimes,Willing,Mall,> RM 300,Strongly Disagree,Yes,Yes,Yes,Yes,Very Excited,W.P. Kuala Lumpur
6/22/2022 16:46,Female,14-19,Chinese,Designer,Yes,Yes,Combination Skin,Noncomedogenic,Brand,Yes,Yes,Willing,Mall,> RM 300,Strongly Agree,Yes,Yes,Yes,Yes,Slightly Excited,Kedah
6/4/2022 14:36,Female,>35,Chinese,Teacher,Yes,Yes,Uneven Skin Tone,Oil-free,Dermatologist,Yes,Yes,Willing,Online,> RM 300,Strongly Agree,Yes,No,Yes,Yes,Moderately Excited,Pahang
10/10/2022 11:56,Female,20-24,Chinese,Own,Yes,Yes,Combination Skin,Oil-free,Dermatologist,No,Often,Willing,Mall,RM 150 - RM 199,Strongly Agree,Yes,Yes,Yes,Yes,Slightly Excited,Kedah
11/8/2022 19:34,Female,25-29,Chinese,Teacher,Yes,Yes,Dry,Natural,Relatives,Yes,Rarely,Willing,Mall,RM 150 - RM 199,Strongly Disagree,Yes,No,Yes,No,Extremely Excited,Perak
11/8/2022 9:08,Female,25-29,Chinese,Consultant,Yes,Yes,Uneven Skin Tone,Alcohol-free,Brand,Yes,Very often,Willing,Mall,RM 150 - RM 199,Strongly Agree,Yes,Yes,Yes,Yes,Very Excited,Melaka
8/12/2022 21:33,Female,25-29,Chinese,Designer,Yes,No,Combination Skin,Oil-free,Relatives,Yes,Yes,Willing,Online,RM 150 - RM 199,Strongly Agree,Yes,Yes,Yes,Yes,Extremely Excited,Negeri Sembilan
5/19/2022 19:13,Female,>35,Chinese,Doctor,Yes,Yes,Uneven Skin Tone,Noncomedogenic,Brand,Yes,Sometimes,Not Willing,Online,RM 100 - RM 149,Strongly Disagree,Yes,No,Yes,Yes,Slightly Excited,W.P. Putrajaya
5/10/2022 21:16,Female,>35,Chinese,Own,Yes,Yes,Combination Skin,Natural,Brand,Yes,Sometimes,Willing,Specialized Beauty Shops,RM 100 - RM 149,Neutral,Yes,Yes,No,No,Extremely Excited,W.P. Labuan
10/4/2022 7:27,Female,30-35,Chinese,Student,Yes,Yes,Combination Skin,Natural,Relatives,Yes,Sometimes,Willing,Online,RM 50 - RM 99,Strongly Disagree,Yes,No,Yes,Yes,Extremely Excited,Melaka
10/14/2022 2:49,Female,25-29,Iban,Own,Yes,No,Brown Spots,Hypoallergenic,Dermatologist,Yes,Sometimes,Willing,Online,RM 20 - RM 49,Disagree,Yes,Yes,Yes,Yes,Extremely Excited,Negeri Sembilan
11/21/2022 3:06,Female,20-24,Iban,Doctor,Yes,Yes,Combination Skin,Hypoallergenic,Brand,No,Sometimes,Not Willing,Online,RM 20 - RM 49,Disagree,Yes,Yes,Yes,Yes,Very Excited,Melaka
10/28/2022 3:15,Female,20-24,Iban,Engineer,Yes,Yes,Uneven Skin Tone,Natural,Dermatologist,No,Often,Not Willing,Online,> RM 300,Disagree,Yes,No,Yes,No,Very Excited,Perak
11/17/2022 7:06,Female,30-35,Iban,Student,Yes,No,Combination Skin,Noncomedogenic,Brand,Yes,Never,Willing,Online,RM 150 - RM 199,Neutral,No,Yes,Yes,Yes,Moderately Excited,W.P. Kuala Lumpur
5/10/2022 4:20,Female,14-19,Iban,Manager,Yes,Yes,Oily Skin,Natural,Brand,No,Very often,Willing,Online,RM 100 - RM 149,Disagree,Yes,No,Yes,Yes,Not At All Excited,W.P. Labuan
11/24/2022 4:22,Female,20-24,Iban,Student,Yes,Yes,Oily Skin,Alcohol-free,Brand,Yes,Sometimes,Willing,Online,RM 100 - RM 149,Disagree,Yes,Yes,No,No,Moderately Excited,W.P. Kuala Lumpur
10/16/2022 17:00,Female,30-35,Iban,Doctor,No,Yes,Uneven Skin Tone,Hypoallergenic,Relatives,Yes,Often,Willing,Mall,RM 50 - RM 99,Agree,Yes,Yes,Yes,No,Slightly Excited,Selangor
5/2/2022 1:39,Female,25-29,Iban,Manager,Yes,Yes,Dry,Low pH,Dermatologist,Yes,Very often,Willing,Online,RM 50 - RM 99,Neutral,Yes,Yes,Yes,Yes,Extremely Excited,W.P. Kuala Lumpur
8/14/2022 1:31,Female,20-24,Indian,Teacher,Yes,Yes,Brown Spots,Noncomedogenic,Relatives,Yes,Often,Willing,Online,RM 20 - RM 49,Agree,No,Yes,No,Yes,Moderately Excited,Pahang
4/7/2022 11:46,Female,25-29,Indian,Designer,Yes,Yes,Dry,Alcohol-free,Brand,Yes,Sometimes,Willing,Online,> RM 300,Neutral,Yes,No,Yes,Yes,Slightly Excited,Johor
3/22/2022 12:29,Female,25-29,Indian,Engineer,Yes,No,Sensitive Skin,Natural,Relatives,Yes,Never,Willing,Mall,RM 100 - RM 149,Strongly Disagree,Yes,Yes,Yes,Yes,Very Excited,Sabah
4/30/2022 8:28,Female,20-24,Indian,Student,Yes,Yes,Combination Skin,Alcohol-free,Relatives,Yes,Sometimes,Willing,Mall,RM 200 - RM 300,Agree,Yes,Yes,Yes,Yes,Moderately Excited,W.P. Labuan
8/5/2022 21:30,Female,20-24,Indian,Student,No,Yes,Combination Skin,Oil-free,Brand,Yes,Sometimes,Willing,Specialized Beauty Shops,RM 50 - RM 99,Neutral,Yes,Yes,Yes,Yes,Very Excited,W.P. Labuan
4/10/2022 6:24,Female,25-29,Indian,Doctor,Yes,Yes,Dry,Alcohol-free,Brand,Yes,Sometimes,Willing,Online,RM 150 - RM 199,Disagree,No,Yes,Yes,Yes,Very Excited,Sarawak
3/22/2022 3:24,Female,25-29,Indian,Student,Yes,Yes,Oily Skin,Oil-free,Dermatologist,Yes,Very often,Willing,Online,RM 100 - RM 149,Strongly Agree,Yes,Yes,Yes,Yes,Very Excited,Melaka
4/8/2022 20:27,Female,25-29,Indian,Teacher,Yes,Yes,Combination Skin,Noncomedogenic,Brand,Yes,Never,Willing,Online,RM 200 - RM 300,Agree,Yes,Yes,Yes,Yes,Moderately Excited,Negeri Sembilan
9/9/2022 0:50,Female,25-29,Indian,Doctor,Yes,No,Combination Skin,Natural,Relatives,No,Never,Willing,Online,RM 50 - RM 99,Strongly Agree,Yes,Yes,Yes,No,Very Excited,W.P. Putrajaya
9/10/2022 8:59,Female,25-29,Indian,Engineer,Yes,Yes,Oily Skin,Noncomedogenic,Relatives,No,Very often,Willing,Mall,RM 50 - RM 99,Strongly Disagree,Yes,Yes,Yes,Yes,Extremely Excited,Pahang
8/4/2022 3:48,Female,>35,Javanese,Manager,Yes,Yes,Combination Skin,Natural,Relatives,Yes,Very often,Willing,Online,> RM 300,Strongly Disagree,Yes,No,Yes,Yes,Extremely Excited,Sarawak
7/3/2022 9:10,Female,20-24,Javanese,Teacher,Yes,Yes,Uneven Skin Tone,Noncomedogenic,Relatives,No,Often,Willing,Specialized Beauty Shops,> RM 300,Disagree,Yes,Yes,No,Yes,Very Excited,Sabah
5/14/2022 11:48,Male,20-24,Javanese,Doctor,Yes,Yes,Uneven Skin Tone,Hypoallergenic,Brand,No,Rarely,Not Willing,Mall,RM 50 - RM 99,Neutral,Yes,No,Yes,Yes,Extremely Excited,Perak
8/10/2022 17:05,Male,25-29,Javanese,Student,Yes,Yes,Combination Skin,Natural,Brand,Yes,Never,Willing,Pharmacy,RM 100 - RM 149,Disagree,Yes,Yes,Yes,Yes,Very Excited,Melaka
8/5/2022 15:33,Female,30-35,Javanese,Doctor,Yes,Yes,Uneven Skin Tone,Antioxidant,Brand,Yes,Often,Willing,Specialized Beauty Shops,RM 100 - RM 149,Strongly Agree,Yes,No,No,Yes,Extremely Excited,Negeri Sembilan
6/6/2022 8:54,Female,30-35,Javanese,Designer,Yes,Yes,Combination Skin,Alcohol-free,Brand,Yes,Very often,Willing,Mall,RM 200 - RM 300,Neutral,Yes,Yes,Yes,Yes,Slightly Excited,Negeri Sembilan
6/10/2022 15:37,Female,25-29,Malay,Student,Yes,No,Combination Skin,Alcohol-free,Dermatologist,Yes,Sometimes,Willing,Online,RM 200 - RM 300,Neutral,Yes,Yes,No,No,Very Excited,Kedah
7/9/2022 16:41,Female,30-35,Malay,Teacher,Yes,Yes,Combination Skin,Hypoallergenic,Dermatologist,No,Often,Willing,Online,RM 200 - RM 300,Strongly Disagree,Yes,Yes,Yes,Yes,Very Excited,W.P. Kuala Lumpur
11/17/2022 4:59,Female,25-29,Malay,Consultant,Yes,Yes,Combination Skin,Alcohol-free,Brand,Yes,Sometimes,Willing,Mall,RM 20 - RM 49,Neutral,Yes,No,Yes,Yes,Slightly Excited,Kelantan
7/8/2022 0:53,Female,25-29,Malay,Consultant,Yes,Yes,Oily Skin,Alcohol-free,Salesperson,Yes,Yes,Willing,Pharmacy,RM 20 - RM 49,Neutral,Yes,Yes,Yes,Yes,Extremely Excited,Kelantan
9/26/2022 7:17,Female,25-29,Malay,Student,Yes,Yes,Combination Skin,Oil-free,Relatives,Yes,Rarely,Not Willing,Mall,RM 100 - RM 149,Agree,Yes,Yes,Yes,Yes,Very Excited,W.P. Kuala Lumpur
3/29/2022 9:35,Female,25-29,Malay,Student,Yes,Yes,Uneven Skin Tone,Antioxidant,Brand,Yes,Very often,Willing,Online,RM 150 - RM 199,Strongly Disagree,Yes,Yes,Yes,Yes,Extremely Excited,Pulau Pinang
11/27/2022 20:17,Female,30-35,Malay,Student,Yes,Yes,Combination Skin,Alcohol-free,Relatives,Yes,Yes,Willing,Pharmacy,RM 150 - RM 199,Agree,No,Yes,Yes,Yes,Extremely Excited,W.P. Putrajaya
9/26/2022 7:21,Female,20-24,Malay,Student,Yes,Yes,Sensitive Skin,Alcohol-free,Product ,Yes,Often,Willing,Online,RM 50 - RM 99,Neutral,Yes,No,Yes,Yes,Very Excited,Pahang
11/6/2022 20:36,Female,25-29,Malay,Architect,No,Yes,Uneven Skin Tone,Natural,Relatives,Yes,Rarely,Willing,Online,RM 50 - RM 99,Strongly Agree,Yes,Yes,Yes,Yes,Not At All Excited,Kedah
6/11/2022 14:35,Female,20-24,Malay,Student,Yes,Yes,Uneven Skin Tone,Hypoallergenic,Relatives,Yes,Yes,Willing,Online,RM 150 - RM 199,Neutral,No,Yes,Yes,Yes,Extremely Excited,W.P. Kuala Lumpur
8/23/2022 3:29,Female,20-24,Malay,Manager,Yes,Yes,Natural Skin,Hypoallergenic,Relatives,Yes,Sometimes,Willing,Online,RM 50 - RM 99,Neutral,Yes,No,Yes,Yes,Moderately Excited,W.P. Putrajaya
11/11/2022 4:15,Female,20-24,Malay,Manager,Yes,Yes,Pigmentation,Natural,Relatives,No,Sometimes,Willing,Online,RM 50 - RM 99,Strongly Disagree,Yes,Yes,Yes,Yes,Very Excited,Johor
3/30/2022 0:06,Male,30-35,Malay,Engineer,Yes,Yes,Combination Skin,Alcohol-free,Pricing,Yes,Very often,Willing,Online,RM 100 - RM 149,Strongly Disagree,No,No,Yes,No,Slightly Excited,Kelantan
10/31/2022 22:04,Female,14-19,Malay,Teacher,No,Yes,Combination Skin,Natural,Relatives,Yes,Sometimes,Willing,Online,RM 200 - RM 300,Disagree,Yes,Yes,Yes,Yes,Extremely Excited,Sabah
6/9/2022 12:08,Female,14-19,Malay,Engineer,No,Yes,Oily Skin,Antioxidant,Brand,Yes,Sometimes,Willing,Online,RM 100 - RM 149,Disagree,Yes,No,No,No,Moderately Excited,W.P. Kuala Lumpur
7/17/2022 3:03,Female,14-19,Malay,Manager,Yes,Yes,Combination Skin,Noncomedogenic,Relatives,Yes,Often,Willing,Online,RM 50 - RM 99,Disagree,Yes,No,Yes,Yes,Very Excited,Melaka
6/14/2022 14:10,Male,>35,Malay,Student,Yes,Yes,Combination Skin,Antioxidant,Brand,No,Very often,Willing,Specialized Beauty Shops,RM 200 - RM 300,Strongly Disagree,Yes,No,Yes,Yes,Moderately Excited,W.P. Labuan
9/2/2022 8:58,Female,25-29,Malay,Student,Yes,Yes,Uneven Skin Tone,Noncomedogenic,Brand,Yes,Sometimes,Willing,Mall,RM 20 - RM 49,Disagree,Yes,No,Yes,Yes,Moderately Excited,Perlis
11/11/2022 3:20,Female,20-24,Malay,Own,Yes,Yes,Combination Skin,Oil-free,Brand,Yes,Never,Willing,Mall,RM 20 - RM 49,Agree,Yes,No,Yes,Yes,Very Excited,Pulau Pinang
10/20/2022 20:06,Female,20-24,Malay,Architect,No,Yes,Combination Skin,Hypoallergenic,Relatives,Yes,Never,Willing,Mall,RM 150 - RM 199,Neutral,Yes,Yes,Yes,Yes,Very Excited,W.P. Kuala Lumpur
3/30/2022 9:41,Female,20-24,Malay,Own,Yes,No,Uneven Skin Tone,Alcohol-free,Brand,Yes,Yes,Willing,Pharmacy,RM 200 - RM 300,Agree,Yes,Yes,Yes,Yes,Very Excited,Perlis
10/4/2022 12:41,Male,>35,Malay,Architect,Yes,Yes,Combination Skin,Noncomedogenic,Relatives,Yes,Rarely,Not Willing,Mall,RM 50 - RM 99,Strongly Agree,Yes,Yes,No,Yes,Extremely Excited,Melaka
8/27/2022 17:51,Female,14-19,Malay,Own,Yes,Yes,Combination Skin,Oil-free,Brand,Yes,Often,Willing,Mall,RM 200 - RM 300,Agree,Yes,No,Yes,Yes,Slightly Excited,Selangor
6/13/2022 20:49,Male,25-29,Malay,Consultant,Yes,No,Combination Skin,Alcohol-free,Brand,Yes,Rarely,Willing,Online,RM 100 - RM 149,Neutral,Yes,Yes,Yes,Yes,Very Excited,Negeri Sembilan
4/14/2022 6:26,Female,30-35,Malay,Teacher,Yes,Yes,Uneven Skin Tone,Antioxidant,Product ,Yes,Never,Willing,Online,RM 200 - RM 300,Neutral,Yes,No,Yes,Yes,Moderately Excited,Pahang
6/16/2022 14:47,Female,25-29,Malay,Teacher,Yes,Yes,Uneven Skin Tone,Antioxidant,Brand,No,Never,Not Willing,Online,RM 100 - RM 149,Strongly Agree,Yes,Yes,No,Yes,Not At All Excited,Pahang
11/29/2022 9:54,Female,>35,Malay,Architect,Yes,Yes,Oily Skin,Antioxidant,Brand,No,Very often,Willing,Online,RM 150 - RM 199,Neutral,Yes,Yes,No,Yes,Very Excited,Johor
11/18/2022 5:06,Female,14-19,Malay,Doctor,Yes,Yes,Uneven Skin Tone,Alcohol-free,Relatives,Yes,Rarely,Willing,Online,RM 100 - RM 149,Strongly Disagree,Yes,Yes,Yes,Yes,Moderately Excited,W.P. Kuala Lumpur
5/27/2022 10:45,Female,20-24,Malay,Own,Yes,Yes,Oily Skin,Alcohol-free,Product ,Yes,Rarely,Willing,Online,RM 50 - RM 99,Strongly Disagree,Yes,Yes,Yes,Yes,Very Excited,Terengganu
11/23/2022 4:53,Female,30-35,Malay,Consultant,Yes,Yes,Combination Skin,Oil-free,Brand,Yes,Sometimes,Willing,Online,RM 100 - RM 149,Strongly Agree,Yes,Yes,Yes,Yes,Slightly Excited,W.P. Kuala Lumpur
8/13/2022 9:30,Female,25-29,Malay,Engineer,Yes,No,Oily Skin,Oil-free,Relatives,Yes,Often,Willing,Online,< RM 20,Strongly Disagree,Yes,Yes,Yes,No,Very Excited,Negeri Sembilan
8/3/2022 10:43,Female,20-24,Malay,Teacher,Yes,Yes,Combination Skin,Noncomedogenic,Relatives,Yes,Sometimes,Not Willing,Online,RM 50 - RM 99,Strongly Agree,Yes,Yes,No,Yes,Moderately Excited,Negeri Sembilan
10/9/2022 14:31,Female,25-29,Malay,Manager,Yes,Yes,Uneven Skin Tone,Noncomedogenic,Dermatologist,Yes,Very often,Not Willing,Online,RM 200 - RM 300,Disagree,Yes,Yes,No,Yes,Extremely Excited,Perlis
8/5/2022 11:51,Female,30-35,Malay,Student,Yes,Yes,Uneven Skin Tone,Alcohol-free,Brand,Yes,Never,Willing,Online,RM 150 - RM 199,Strongly Agree,Yes,Yes,No,No,Moderately Excited,Johor
11/29/2022 6:36,Male,>35,Malay,Teacher,Yes,Yes,Oily Skin,Natural,Pricing,No,Never,Not Willing,Online,RM 150 - RM 199,Disagree,Yes,Yes,Yes,Yes,Extremely Excited,Perlis
10/4/2022 20:12,Male,25-29,Malay,Consultant,Yes,Yes,Combination Skin,Hypoallergenic,Brand,Yes,Often,Willing,Online,RM 100 - RM 149,Disagree,Yes,Yes,Yes,Yes,Extremely Excited,Sarawak
11/24/2022 10:19,Female,20-24,Malay,Engineer,Yes,Yes,Brown Spots,Alcohol-free,Brand,No,Often,Willing,Online,RM 100 - RM 149,Agree,Yes,Yes,No,Yes,Moderately Excited,Melaka
4/29/2022 21:30,Female,30-35,Malay,Manager,No,Yes,Combination Skin,Noncomedogenic,Relatives,Yes,Very often,Not Willing,Online,RM 20 - RM 49,Neutral,Yes,Yes,Yes,Yes,Slightly Excited,W.P. Labuan
8/29/2022 3:50,Female,20-24,Malay,Student,Yes,Yes,Combination Skin,Antioxidant,Brand,Yes,Sometimes,Not Willing,Online,RM 150 - RM 199,Strongly Disagree,Yes,No,Yes,Yes,Very Excited,W.P. Labuan
6/22/2022 20:09,Female,30-35,Malay,Student,No,Yes,Combination Skin,Natural,Brand,Yes,Very often,Willing,Online,RM 50 - RM 99,Strongly Disagree,Yes,Yes,Yes,Yes,Very Excited,Terengganu
5/30/2022 6:14,Female,25-29,Malay,Student,Yes,No,Combination Skin,Noncomedogenic,Brand,Yes,Sometimes,Willing,Mall,< RM 20,Neutral,Yes,Yes,Yes,Yes,Moderately Excited,Perlis
5/31/2022 14:43,Female,25-29,Malay,Architect,Yes,Yes,Combination Skin,Hypoallergenic,Brand,Yes,Rarely,Willing,Online,< RM 20,Agree,Yes,No,No,Yes,Slightly Excited,Pahang
